time,fusion
2018-01-13 16:00:00,26005kt 9999 WM FEW030 M 10 05 q1015 25005KT 220V280 9999 SCT030TCU 10/05 Q1015 TEMPO 3000 SHRA
2018-01-13 17:00:00,25007kt 9999 WM FEW030 M 08 05 q1015 22007KT 9999 SCT030CB 09/06 Q1015 TEMPO 3000 SHRA
2018-01-14 04:00:00,21007kt 9999 WM FEW050 M 05 04 q1018 18006KT 9999 FEW046 04/04 Q1018
2018-01-14 10:00:00,18003kt 9999 WM FEW030 M 04 04 q1020 VRB02KT 9999 FEW030 05/05 Q1020 NOSIG
2018-01-14 11:00:00,18003kt 9999 WM FEW030 M 07 06 q1020 16004KT 120V290 9999 FEW030 07/05 Q1021 NOSIG
2018-01-14 12:00:00,20003kt 9999 WM FEW040 SCT 09 06 q1020 16004KT 110V210 9999 FEW035 09/05 Q1021 NOSIG
2018-01-14 14:00:00,35001kt 9999 WM FEW030 M 11 05 q1020 22003KT 190V260 9999 FEW030 11/04 Q1020 NOSIG
2018-01-14 19:00:00,20001kt 9999 FG M050 M 07 05 q1023 19003KT CAVOK 07/05 Q1023 NOSIG
2018-01-14 23:00:00,22005kt 9999 FG FEW025 M 05 05 q1024 17008KT 7000 0400 BCFG FEW023 03/03 Q1025 TEMPO 0350 BCFG BKN001
2018-01-15 01:00:00,16005kt 9999 FG NSCNClD M 04 03 q1025 18004KT 6000 0250SW R03/0750N BCFG NSC 02/02 Q1025
2018-01-15 05:00:00,20007kt 9999 WM MNClD M 04 02 q1025 18007KT CAVOK 03/03 Q1025 NOSIG
2018-01-15 07:00:00,21007kt 9999 WM M040 M 04 03 q1025 17008KT CAVOK 04/04 Q1025 NOSIG
2018-01-15 09:00:00,21011kt 9999 WM M040 M 07 05 q1026 18008KT 150V210 9999 FEW040 06/05 Q1026 NOSIG
2018-01-15 12:00:00,21011kt 9999 WM BKN025 BKN 09 06 q1026 21014KT 9999 FEW020 BKN038 09/06 Q1026 NOSIG
2018-01-15 14:00:00,22015kt 9999 WM BKN025 OVC 11 07 q1024 21012KT 9999 BKN022 OVC031 11/08 Q1024 NOSIG
2018-01-15 15:00:00,22015kt 9999 WM FEW025 OVC 12 08 q1023 22014G27KT 190V250 9999 4000S SCT022 OVC036 12/08 Q1023 NOSIG
2018-01-15 16:00:00,22017kt 9999 WM SCT025 OVC 12 08 q1023 22012G22KT 9999 SCT022 OVC036 12/09 Q1024 NOSIG
2018-01-15 17:00:00,21017kt 9999 WM FEW025 M 12 09 q1024 21013KT 190V250 9999 FEW010 SCT025 OVC036 11/09 Q1024 NOSIG
2018-01-15 21:00:00,23009kt 9999 DZ BKN015 M 12 11 q1025 21010KT 170V230 9999 BKN018 12/09 Q1025 NOSIG
